decision_id,program_sections,experiment_ids,uncovered_reason,evidence_route,covered,experiment_count,cluster,status,blocker_class
DEC-ACC-059,12; 13,EXP-REMOTE-005; EXP-SCALE-001; EXP-SCALE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-060,13,EXP-SCALE-001; EXP-SCALE-006; EXP-SCALE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-061,13,EXP-SCALE-007,,,Y,1,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-062,13,EXP-SCALE-001; EXP-SCALE-006; EXP-SCALE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-063,7; 12,EXP-REMOTE-001; EXP-REMOTE-013,Choice of network emulation method (application-level proxy vs Toxiproxy vs netem VM vs real object stores vs trace replay) is validated by the emulator calibration and slow-start sensitivity analysis of the remote domain.,"remote domain (program 12): EXP-NETEM-CAL regeneration in a quiet window, harness review R1-14 slow-start sensitivity and real-path confirmation experiments.",Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-001,8.1; 14; 22.2; 35,EXP-CHUNK-001; EXP-CHUNK-002; EXP-CHUNK-003; EXP-CHUNK-004; EXP-CHUNK-006; EXP-CHUNK-008; EXP-CHUNK-009; EXP-CHUNK-012; EXP-CHUNK-013; EXP-CRYPTO-003; EXP-CRYPTO-021; EXP-EVAL-012; EXP-SCALE-012; EXP-SCALE-014,,,Y,14,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-002,8.1; 10; 11,EXP-CHUNK-001; EXP-CHUNK-002; EXP-CHUNK-003; EXP-CHUNK-004; EXP-CHUNK-005; EXP-CHUNK-008; EXP-CHUNK-009; EXP-CHUNK-014; EXP-CON-002; EXP-PLANNER-005; EXP-PLANNER-012,,,Y,11,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-003,8.1; 9; 10,EXP-CHUNK-002; EXP-CHUNK-004; EXP-CHUNK-005; EXP-CHUNK-008; EXP-PLANNER-005; EXP-PLANNER-012,,,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-004,8.1; 9,EXP-CHUNK-004; EXP-CHUNK-005; EXP-CHUNK-008; EXP-PLANNER-005; EXP-PLANNER-012,,,Y,5,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-005,8.1; 28; 29,EXP-CHUNK-011; EXP-CHUNK-012; EXP-CHUNK-013; EXP-CONF-004; EXP-CONF-009; EXP-CONF-012,,,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-006,8.3; 10; 12,EXP-CROSSFILE-001; EXP-CROSSFILE-002; EXP-CROSSFILE-007; EXP-PLANNER-006; EXP-PLANNER-012; EXP-REMOTE-003,,,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-007,8.6; 30; 31,EXP-CODEC-002; EXP-CODEC-009; EXP-CONF-010; EXP-ECO-001; EXP-ECO-002; EXP-ECO-003,,,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-008,8.6; 28; 31; 34,EXP-CODEC-001; EXP-CODEC-002; EXP-CODEC-003; EXP-CODEC-005; EXP-CODEC-009; EXP-CONF-001; EXP-ECO-001; EXP-ECO-003; EXP-EVAL-008,,,Y,9,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-009,8.6; 10,EXP-CODEC-001; EXP-CODEC-002; EXP-CODEC-003; EXP-CODEC-005; EXP-CODEC-009; EXP-PLANNER-002; EXP-PLANNER-004; EXP-PLANNER-012,,,Y,8,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-010,8.6; 8.7; 30; 34,EXP-CODEC-005; EXP-CONF-004; EXP-CONF-009; EXP-EVAL-008,,,Y,4,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-011,6; 8.6; 35,EXP-EVAL-001; EXP-EVAL-002; EXP-EVAL-005; EXP-EVAL-012; EXP-EVAL-013,"Not measured by a codecs-domain experiment: the decision is the documentation claim policy for ratio/speed claims against incumbents, and the incumbent benchmarks, per-profile decode throughput and held-out replication are designed by the evaluation domain. Codecs-domain inputs: the EXP-CODEC-001 whole-object Silesia arm (descriptive re-verification of the published REQ-CMP-0083 figures) and chunk-scope codec sizes.","EXP-EVAL-001, EXP-EVAL-002, EXP-EVAL-005, EXP-EVAL-012, EXP-EVAL-013 (evaluation domain); Phase D held-out per decision-method section 5",Y,5,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-012,8.7; 8.8; 9,EXP-PLANNER-004; EXP-PLANNER-012; EXP-RECON-001; EXP-RECON-002; EXP-RECON-003; EXP-RECON-004; EXP-RECON-005; EXP-RECON-006,"Planner gating decision (sampling probe, retuned probe, byte-signature categoriser, entropy gate, always-try, per-category scope) is designed as planner-domain arm B plus reconstruction-gate experiments and is not duplicated here. Codecs-domain input: EXP-CODEC-004 reports frozen-probe false negatives and applicability accuracy for new structural transforms (offered to EXP-PLANNER-004).","EXP-PLANNER-004 (arm B), EXP-RECON-001, EXP-RECON-002, EXP-RECON-003, EXP-RECON-004",Y,8,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-013,8.4; 8.5; 10; 33,EXP-CROSSFILE-003; EXP-CROSSFILE-004; EXP-ECO-013; EXP-ECO-018; EXP-ECO-019; EXP-PLANNER-006; EXP-PLANNER-012,,,Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-014,8.4; 8.5; 8.6; 8.7,EXP-CROSSFILE-003; EXP-CROSSFILE-008,"Dictionary and prefix modes for codecs other than Zstandard (LZMA2 preset dictionary, LZ4 dictionary, transforms before dictionary/prefix, long-window prefix plans) are designed by the crossfile domain on its cohorts, with dictionary bytes, decoder memory and decode timing charged; not duplicated here.","EXP-CROSSFILE-003 (DEC-CMP-014 arms), EXP-CROSSFILE-004 (prefix window and LDM topology), EXP-CROSSFILE-008 (decode throughput of the arms); criteria and decoder complexity inputs from EXP-CODEC-005",Y,2,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-015,7; 9; 10,EXP-PLANNER-008; EXP-PLANNER-011; EXP-PLANNER-012,How min_decode_rate is evaluated deterministically (reference machine vs static cost model vs codec-class tiers) is a planner-constraint design question.,planner domain (program 9-10) profile-objective and constraint experiments; EXP-EVAL-004 supplies only the calibrated timing noise floor.,Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-016,8.8; 10; 30,EXP-CONF-007; EXP-CONF-009; EXP-PLANNER-006; EXP-PLANNER-011; EXP-PLANNER-012; EXP-RECON-001; EXP-RECON-002; EXP-RECON-003; EXP-RECON-004; EXP-RECON-006; EXP-RECON-007; EXP-RECON-010; EXP-RECON-012,,,Y,13,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-017,8.2; 13; 22.3; 23; 35,EXP-CHUNK-003; EXP-CHUNK-004; EXP-CHUNK-006; EXP-CHUNK-007; EXP-CHUNK-009; EXP-CRYPTO-006; EXP-EVAL-012; EXP-SCALE-001; EXP-SCALE-006; EXP-SCALE-007,"Deduplication scope is a size, dedup-metadata and access-cost decision owned by the chunking and crossfile designs (program 8.2, 8.3); its section-23 aspect (rename, move and version-series dedup under incremental use) is a dedup measurement, not an integrity measurement. EXP-INT-007 records chain sizes for Incremental candidates but does not compare dedup scopes.","EMPIRICAL via the chunking domain's dedup-scope experiments (net bytes saved per scope, break-even file size, version-series dedup on F17/F18, encrypted creation overhead, index memory at the chunk limit); integrity supplies no additional measurement (at design time indexed by chunking EXP-CHUNK-003, 004, 006, 007, 009, scale EXP-SCALE-001, 006, 007, crypto EXP-CRYPTO-006 and evaluation EXP-EVAL-012)",Y,10,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-018,8.8,EXP-RECON-001; EXP-RECON-002; EXP-RECON-003; EXP-RECON-004; EXP-RECON-005; EXP-RECON-006; EXP-RECON-011; EXP-RECON-012,,,Y,8,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-019,7; 9; 14,EXP-PLANNER-006; EXP-PLANNER-009; EXP-PLANNER-011; EXP-PLANNER-012; EXP-SCALE-005; EXP-SCALE-014,Deterministic planning mode and the recorded resource model are planner/scale determinism questions.,planner domain (program 9-10) and scale domain (program 13-14) determinism-across-threads experiments.,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-020,8.4; 9; 10; 12,EXP-CROSSFILE-003; EXP-CROSSFILE-006; EXP-CROSSFILE-007; EXP-CROSSFILE-008; EXP-PLANNER-004; EXP-PLANNER-012; EXP-REMOTE-011,,,Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-021,8.4; 14; 31,EXP-CROSSFILE-009; EXP-CROSSFILE-010; EXP-CROSSFILE-011; EXP-ECO-001; EXP-ECO-002; EXP-SCALE-005; EXP-SCALE-011; EXP-SCALE-014; EXP-SCALE-015,,,Y,9,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-022,9; 22.2,EXP-CRYPTO-007; EXP-PLANNER-010; EXP-PLANNER-012,,,Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-023,8.6; 8.7; 8.8; 34,EXP-EVAL-008; EXP-RECON-001; EXP-RECON-002; EXP-RECON-004; EXP-RECON-005; EXP-RECON-008; EXP-RECON-011,"The generation ablation (v3-v6 savings shares; promote/withdraw emission candidates) is designed by the reconstruction domain on real archives and is not duplicated here. Codecs-domain inputs: v4 codec and transform evidence (EXP-CODEC-001, EXP-CODEC-004) and specification/implementation burden (EXP-CODEC-005).","EXP-RECON-004 (generation ablation, DEC-CMP-023 candidates), EXP-RECON-001, EXP-RECON-002; independent-reader burden from the conformance domain",Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-024,7; 8.6; 27,EXP-CODEC-008; EXP-LEGACY-031; EXP-LEGACY-033,Frozen legacy export wrapper parameters and encoder-upgrade policy are codec/legacy export decisions.,codecs domain (program 8.6) and legacy domain (program 27) export experiments.,Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-025,9; 29; 34,EXP-CONF-006; EXP-EVAL-008; EXP-PLANNER-010; EXP-PLANNER-012,,,Y,4,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-026,8.8; 31,EXP-ECO-001; EXP-RECON-001; EXP-RECON-002; EXP-RECON-003; EXP-RECON-004; EXP-RECON-005; EXP-RECON-006; EXP-RECON-008; EXP-RECON-009; EXP-RECON-011; EXP-RECON-012,,,Y,11,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-027,8.5; 12; 24; 35,EXP-CROSSFILE-004; EXP-CROSSFILE-005; EXP-CROSSFILE-006; EXP-CROSSFILE-007; EXP-CROSSFILE-008; EXP-EVAL-012; EXP-INT-001; EXP-REMOTE-011,,,Y,8,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-028,21; 25,EXP-PLAT-016; EXP-PLAT-018; EXP-PLAT-023,"Not a legacy-format question: it concerns pack capture of filesystem sources that change during capture (retry count, Unix-vs-Windows stability predicate, abort/exclude/record disposition, snapshot integration). Its program-section 25 tag does not make any legacy import, export or adapter measurement informative for its candidates; the nearest legacy analogue (a legacy archive rewritten while convert or sidecar reads it) would not select among the pack candidates.","Capture/platform domain experiment implementing objective MVT-07(d): seeded mutator (rewrite, truncate, extend, rename-over, touch mtime) against ebound pack on NTFS (Windows host) and ext4 (WSL), FAT via a loop image, SMB only if an owner-provided share exists; plus the static by-path re-open audit of the capture code and a snapshot-API availability survey without unsafe code or admin rights (program section 21).",Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-029,9; 22.2; 33,EXP-CRYPTO-005; EXP-CRYPTO-007; EXP-ECO-019; EXP-PLANNER-009; EXP-PLANNER-010; EXP-PLANNER-012,,,Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-030,9; 10,EXP-PLANNER-004; EXP-PLANNER-012,,,Y,2,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-031,7; 9; 31,EXP-ECO-002; EXP-PLANNER-009; EXP-PLANNER-011; EXP-PLANNER-012,The promise of a frozen planner ID (plan decisions vs boundaries vs compressed bytes) and encoder pinning are planner and dependency-longevity decisions.,planner domain (program 9-10) golden-vector/drift experiments and ecosystem domain (program 31) dependency audit.,Y,4,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-032,9; 35,EXP-EVAL-012; EXP-PLANNER-002; EXP-PLANNER-003; EXP-PLANNER-007; EXP-PLANNER-012,,,Y,5,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-033,9; 10,EXP-PLANNER-003; EXP-PLANNER-007; EXP-PLANNER-012,,,Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-034,8.6; 9; 10; 35,EXP-EVAL-012; EXP-PLANNER-001; EXP-PLANNER-002; EXP-PLANNER-004; EXP-PLANNER-007; EXP-PLANNER-012; EXP-RECON-003,"Per-profile candidate tables (pruned, SPEC-literal, zstd-only, fitted tables; win frequency and marginal contribution under exhaustive search) are designed by the planner domain and are not duplicated here. Codecs-domain inputs: per-configuration decode throughput and memory guards (EXP-CODEC-002, EXP-CODEC-003).","EXP-PLANNER-001, EXP-PLANNER-002, EXP-PLANNER-004 (arm A), EXP-PLANNER-007 (timing), EXP-RECON-003 (JPEG post-codec lists)",Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-035,9; 10; 35,EXP-EVAL-012; EXP-PLANNER-001; EXP-PLANNER-006; EXP-PLANNER-007; EXP-PLANNER-012,,,Y,5,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-036,10; 33; 35,EXP-ECO-019; EXP-ECO-021; EXP-EVAL-012; EXP-PLANNER-001; EXP-PLANNER-007; EXP-PLANNER-011; EXP-PLANNER-012,,,Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-037,8.8; 30,EXP-CONF-009; EXP-RECON-005; EXP-RECON-006; EXP-RECON-007; EXP-RECON-011,,,Y,5,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-038,8.8; 28; 31,EXP-CONF-001; EXP-ECO-001; EXP-ECO-002; EXP-RECON-003; EXP-RECON-004; EXP-RECON-007; EXP-RECON-008; EXP-RECON-011,,,Y,8,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-039,8.2; 8.3; 8.8; 9,EXP-CHUNK-010; EXP-CROSSFILE-007; EXP-CROSSFILE-012; EXP-PLANNER-004; EXP-PLANNER-012; EXP-RECON-002; EXP-RECON-009,,,Y,7,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-040,9; 10,EXP-PLANNER-009; EXP-PLANNER-010; EXP-PLANNER-012,,,Y,3,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-041,8.3; 9; 13; 14,EXP-CROSSFILE-001; EXP-CROSSFILE-007; EXP-SCALE-001; EXP-SCALE-005; EXP-SCALE-007; EXP-SCALE-012,"Similarity method choice (bottom-k against MinHash/LSH, SimHash, Nilsimsa, TLSH, super-features, content-defined sampling) is decided by cohort recall and precision against exact Jaccard, shift sensitivity and false-group cost, which are crossfile measurements (section 8.3). The planner clustering_mode arm (EXP-PLANNER-006) uses only the status-quo method and cheap ordering.","crossfile domain: EXP-CROSSFILE-001, EXP-CROSSFILE-007; scaling beyond RAM: EXP-SCALE-001, EXP-SCALE-005, EXP-SCALE-007, EXP-SCALE-012 (ids at design time)",Y,6,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-CMP-042,8.1; 8.8,EXP-CHUNK-010; EXP-RECON-002; EXP-RECON-004; EXP-RECON-005,,,Y,4,compression,INSUFFICIENT_EVIDENCE,EVIDENCE
