# generated by research/experiments/_review/design_review_round1_scan.py; flag meanings:
# READY_UNBUILT: status READY but tooling_to_build names repository paths that do not exist yet
# TIMING_FLAG_MISMATCH: index requires_timing disagrees with the committed specs (timing spec present but flag False)
# TIMING_NO_AFFINITY: a spec with timing: true has no platform.cpu_affinity
# GUARD_LOOSE: timing spec guard looser than decision-method 4.4 (loadavg > 1.0 + |affinity|, other CPU > 3.0, or max_wait_s < 300)
# TIMED_CMD_ON_MNT: a timing spec's command reads a script or helper from /mnt/* (drvfs/9P) inside the timed sample
# SPEC_MIXES_SPLITS: one spec selects both tuning and validation
# AUTO_BLOCKS_EMPTY: protocol.md contains empty generated <!-- BEGIN AUTO:... --> blocks
# SPEC_REF_MISSING: protocol references spec-*.yaml files that do not exist and whose mention is not marked as generated later (heuristic)
# BELOW_MIN_SUPPORT: an explicit item list in some spec has < 10 independence groups or < 5 families in a split (informational: only matters for banded corpus-level verdicts)
# DISK_OVER_HEADROOM: disk_gb_estimate > 250 (D: headroom after disk_guard's 75 GB floor is about 350 GB at review time)
# NO_METRIC_CANONICAL: no spec metric (or its '__stratum' prefix) is a canonical Appendix A.2 name
experiment_id,domain,status,requires_timing,decision_count,compute_hours_estimate,disk_gb_estimate,spec_documents,flags
EXP-INT-008,integrity,NEEDS_TOOLING,True,12,50,38,2,BELOW_MIN_SUPPORT
EXP-INT-009,integrity,READY,False,7,24,15,2,
EXP-INT-010,integrity,NEEDS_TOOLING,False,4,155,60,1,BELOW_MIN_SUPPORT
EXP-INT-011,integrity,NEEDS_TOOLING,False,3,6,10,2,BELOW_MIN_SUPPORT
EXP-INT-012,integrity,NEEDS_TOOLING,False,5,85,43,1,
EXP-INT-013,integrity,NEEDS_TOOLING,False,4,23,30,1,
EXP-INT-014,integrity,NEEDS_TOOLING,True,2,93,25,1,
EXP-INT-015,integrity,NEEDS_TOOLING,False,4,36,15,1,
EXP-INT-016,integrity,NEEDS_TOOLING,False,5,55,20,1,BELOW_MIN_SUPPORT
EXP-INT-017,integrity,NEEDS_TOOLING,True,3,28,40,1,BELOW_MIN_SUPPORT
EXP-INT-018,integrity,BLOCKED,False,4,100,100,0,
EXP-INT-019,integrity,BLOCKED,False,7,20,30,1,BELOW_MIN_SUPPORT
EXP-INT-020,integrity,BLOCKED,False,5,10,50,0,
EXP-LEGACY-001,legacy,NEEDS_TOOLING,False,28,30,20,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-002,legacy,NEEDS_TOOLING,False,14,25,15,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-003,legacy,NEEDS_TOOLING,False,11,10,20,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-004,legacy,NEEDS_TOOLING,False,9,20,40,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-005,legacy,NEEDS_TOOLING,False,7,190,30,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-006,legacy,READY,False,11,1,1,1,NO_METRIC_CANONICAL;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-LEGACY-010,legacy,NEEDS_TOOLING,False,55,200,200,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-020,legacy,NEEDS_TOOLING,False,12,15,30,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-021,legacy,NEEDS_TOOLING,False,14,3,10,0,
EXP-LEGACY-030,legacy,NEEDS_TOOLING,False,11,70,60,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-031,legacy,NEEDS_TOOLING,False,5,56,40,2,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-032,legacy,NEEDS_TOOLING,True,6,150,90,1,SPEC_MIXES_SPLITS
EXP-LEGACY-033,legacy,NEEDS_TOOLING,True,2,80,50,1,SPEC_MIXES_SPLITS
EXP-LEGACY-034,legacy,NEEDS_TOOLING,False,4,6,10,1,SPEC_MIXES_SPLITS
EXP-LEGACY-040,legacy,NEEDS_TOOLING,True,8,250,200,1,SPEC_MIXES_SPLITS
EXP-LEGACY-041,legacy,NEEDS_TOOLING,True,9,32,30,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-050,legacy,NEEDS_TOOLING,False,10,80,80,1,SPEC_MIXES_SPLITS
EXP-LEGACY-051,legacy,NEEDS_TOOLING,False,13,33,40,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-LEGACY-070,legacy,NEEDS_TOOLING,False,8,2,1,0,
EXP-LEGACY-080,legacy,BLOCKED,False,7,30,30,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-PLANNER-001,planner,READY,False,5,420,41,1,READY_UNBUILT
EXP-PLANNER-002,planner,NEEDS_TOOLING,False,3,480,60,1,NO_METRIC_CANONICAL
EXP-PLANNER-003,planner,NEEDS_TOOLING,True,2,320,20,2,SPEC_REF_MISSING;TIMED_CMD_ON_MNT
EXP-PLANNER-004,planner,NEEDS_TOOLING,True,6,310,25,1,
EXP-PLANNER-005,planner,NEEDS_TOOLING,False,4,235,23,2,
EXP-PLANNER-006,planner,NEEDS_TOOLING,False,9,590,27,3,
EXP-PLANNER-007,planner,NEEDS_TOOLING,True,5,270,26,5,TIMED_CMD_ON_MNT
EXP-PLANNER-008,planner,NEEDS_TOOLING,True,1,40,6,3,
EXP-PLANNER-009,planner,NEEDS_TOOLING,False,4,70,11,3,
EXP-PLANNER-010,planner,NEEDS_TOOLING,False,6,185,22,3,
EXP-PLANNER-011,planner,BLOCKED,True,5,75,50,1,SPEC_REF_MISSING;TIMING_NO_AFFINITY
EXP-PLANNER-012,planner,BLOCKED,True,31,700,60,0,
EXP-PLAT-001,platform,READY,False,4,1,3,2,READY_UNBUILT
EXP-PLAT-002,platform,READY,False,11,8,6,2,READY_UNBUILT
EXP-PLAT-003,platform,READY,False,24,4,2,1,READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-004,platform,NEEDS_TOOLING,False,11,14,45,3,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-005,platform,NEEDS_TOOLING,False,16,24,80,3,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-006,platform,READY,False,6,3,3,2,READY_UNBUILT
EXP-PLAT-007,platform,READY,False,3,3,6,2,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-008,platform,READY,False,10,5,6,2,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-009,platform,READY,False,5,4,20,2,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-010,platform,READY,False,4,10,60,3,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-011,platform,READY,False,5,8,30,2,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-012,platform,READY,False,6,5,12,4,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-PLAT-013,platform,READY,False,12,6,20,1,READY_UNBUILT
EXP-PLAT-014,platform,NEEDS_TOOLING,False,12,40,12,4,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-015,platform,NEEDS_TOOLING,True,4,36,35,2,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-016,platform,NEEDS_TOOLING,False,20,6,15,2,
EXP-PLAT-017,platform,NEEDS_TOOLING,False,6,12,30,3,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-018,platform,NEEDS_TOOLING,False,4,16,20,2,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-019,platform,NEEDS_TOOLING,False,9,4,12,1,
EXP-PLAT-020,platform,READY,False,2,1,1,2,READY_UNBUILT
EXP-PLAT-021,platform,READY,False,12,1,6,0,READY_UNBUILT
EXP-PLAT-022,platform,BLOCKED,False,21,20,50,1,
EXP-PLAT-023,platform,BLOCKED,False,14,12,40,1,
EXP-PLAT-024,platform,NEEDS_TOOLING,False,8,8,25,2,BELOW_MIN_SUPPORT;SPEC_MIXES_SPLITS
EXP-PLAT-025,platform,BLOCKED,False,3,6,30,1,BELOW_MIN_SUPPORT;NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS;SPEC_REF_MISSING
EXP-RECON-001,reconstruction,READY,False,8,80,15,1,READY_UNBUILT
EXP-RECON-002,reconstruction,NEEDS_TOOLING,False,7,40,15,1,NO_METRIC_CANONICAL
EXP-RECON-003,reconstruction,NEEDS_TOOLING,False,7,120,20,1,
EXP-RECON-004,reconstruction,NEEDS_TOOLING,False,10,300,60,1,SPEC_REF_MISSING
EXP-RECON-005,reconstruction,NEEDS_TOOLING,True,7,260,70,2,
EXP-RECON-006,reconstruction,NEEDS_TOOLING,False,7,60,30,1,
EXP-RECON-007,reconstruction,NEEDS_TOOLING,False,4,450,20,1,
EXP-RECON-008,reconstruction,NEEDS_TOOLING,False,5,70,25,3,
EXP-RECON-009,reconstruction,NEEDS_TOOLING,False,3,40,15,1,
EXP-RECON-010,reconstruction,NEEDS_TOOLING,False,5,70,25,1,
EXP-RECON-011,reconstruction,NEEDS_TOOLING,False,10,6,15,0,
EXP-RECON-012,reconstruction,BLOCKED,True,6,190,30,1,SPEC_REF_MISSING
EXP-REMOTE-001,remote,NEEDS_TOOLING,True,1,6,2,1,GUARD_LOOSE;NO_METRIC_CANONICAL;TIMED_CMD_ON_MNT
EXP-REMOTE-002,remote,NEEDS_TOOLING,False,3,14,95,1,SPEC_REF_MISSING
EXP-REMOTE-003,remote,NEEDS_TOOLING,True,3,12,5,1,SPEC_REF_MISSING
EXP-REMOTE-004,remote,NEEDS_TOOLING,True,5,10,25,1,
EXP-REMOTE-005,remote,NEEDS_TOOLING,True,3,16,45,1,
EXP-REMOTE-006,remote,NEEDS_TOOLING,True,1,14,3,1,TIMED_CMD_ON_MNT
EXP-REMOTE-007,remote,NEEDS_TOOLING,True,6,8,10,1,
EXP-REMOTE-008,remote,NEEDS_TOOLING,False,3,9,50,1,
EXP-REMOTE-009,remote,NEEDS_TOOLING,False,5,4,5,1,
EXP-REMOTE-010,remote,NEEDS_TOOLING,True,6,10,40,1,
EXP-REMOTE-011,remote,NEEDS_TOOLING,True,3,3,5,1,
EXP-REMOTE-012,remote,NEEDS_TOOLING,True,2,20,60,1,
EXP-REMOTE-013,remote,BLOCKED,True,7,20,10,0,
EXP-REMOTE-014,remote,NEEDS_TOOLING,True,1,5,20,1,NO_METRIC_CANONICAL;SPEC_REF_MISSING
EXP-SCALE-001,scale,READY,False,20,50,260,1,DISK_OVER_HEADROOM;READY_UNBUILT;SPEC_REF_MISSING
EXP-SCALE-002,scale,READY,False,10,30,150,1,READY_UNBUILT
EXP-SCALE-003,scale,READY,False,9,30,25,1,READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-SCALE-004,scale,READY,False,9,20,60,2,READY_UNBUILT
EXP-SCALE-005,scale,READY,False,7,70,40,2,NO_METRIC_CANONICAL;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-SCALE-006,scale,NEEDS_TOOLING,False,8,60,260,1,DISK_OVER_HEADROOM
EXP-SCALE-007,scale,NEEDS_TOOLING,True,9,80,300,1,DISK_OVER_HEADROOM;SPEC_REF_MISSING
EXP-SCALE-008,scale,NEEDS_TOOLING,True,12,60,300,1,DISK_OVER_HEADROOM;SPEC_REF_MISSING
EXP-SCALE-009,scale,NEEDS_TOOLING,True,8,40,150,1,SPEC_REF_MISSING
EXP-SCALE-010,scale,NEEDS_TOOLING,True,7,30,120,1,SPEC_REF_MISSING
EXP-SCALE-011,scale,NEEDS_TOOLING,False,4,12,15,1,NO_METRIC_CANONICAL
EXP-SCALE-012,scale,NEEDS_TOOLING,False,9,35,30,1,
EXP-SCALE-013,scale,NEEDS_TOOLING,True,7,60,20,1,
EXP-SCALE-014,scale,NEEDS_TOOLING,False,6,40,25,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-SCALE-015,scale,BLOCKED,True,7,30,60,1,NO_METRIC_CANONICAL;SPEC_MIXES_SPLITS
EXP-SCALE-016,scale,BLOCKED,True,3,25,100,1,TIMED_CMD_ON_MNT;TIMING_NO_AFFINITY
