req_id,cluster,kind,requirement_or_question,source,source_location,additional_sources,superseding_authority,supersession_note,implementation_state,implementation_evidence,evidence_state,research_needed,decision_needed,decision_ids,release_relevance,program_sections
REQ-CMP-0101,compression,CLAIM_NEEDING_EVIDENCE,"Stability judged by length, mtime and executable status misses same-size rewrites within mtime granularity, mmap writes and mode/owner/xattr changes. Unix compares dev, ino, mode, nlink, uid, gid, size, mtime and ctime (directories also after recursion); the Windows predicate compares only length, mtime and an always-false executable flag.",docs/filesystem-bootstrap.md,§Native filesystem bootstrap L9-10 [docs-fs-0006],"[{""source"": ""code:crates/entrybound/src/archive/filesystem.rs"", ""location"": ""L1252-1265"", ""local_key"": ""code-fs-0068""}, {""source"": ""code:crates/entrybound/src/archive/filesystem.rs"", ""location"": ""L1267-1272; crates/entrybound/src/archive/filesystem.rs:1659-1662"", ""local_key"": ""code-fs-0069""}, {""source"": ""code:crates/entrybound/src/archive/filesystem.rs"", ""location"": ""L1145-1174"", ""local_key"": ""code-fs-0063""}]","code:crates/entrybound/src/archive/filesystem.rs:1145-1174,1252-1272",Cross-ref access local-source-revision-detection (random-read sources).,PARTIAL,"filesystem.rs:1252-1272, 1659-1662.",INSUFFICIENT,"Fault injection on NTFS, FAT, SMB and coarse-timestamp ext4 rewriting files with preserved mtime during pack.","Should stability also compare change time, file IDs or re-hash content?",DEC-CMP-028,V1_IMPORTANT,21; 25
REQ-CMP-0102,compression,INVARIANT,Chunker variants that accept a chunk or boundary on a partial feature match (QuickCDC-style feature vectors) are excluded regardless of throughput as silent-corruption risks; dedup matches must be decided on full SHA-256 content identity.,SPEC,§7.3 L803 [spec-03-0103],"[{""source"": ""SPEC"", ""location"": ""§25.1 row 6 L2538"", ""local_key"": ""spec-08-0049""}, {""source"": ""APPX/chunking.md"", ""location"": ""§1.3 L47"", ""local_key"": ""appx-chunking-0019""}]",docs/chunking-v1.md §Algorithm L11-15 (every byte updates the hash; no boundary skipping); docs/chunking-v1.md §Exact deduplication L79-82,Repo satisfies the exclusion; the excluded class still needs a precise definition distinguishing it from ordinary minimum-size cut suppression.,IMPLEMENTED,"chunker.rs:142-164 (hash updated for every byte, cuts content-defined); archive/filesystem.rs:883-944 (dedup keyed by SHA-256, ChunkIdentityCollision on divergent bytes)",SUPPORTED_WITH_LIMITATIONS,Normative definition of the excluded variant class; audit dedup path confirms equality requires full digest over all bytes.,,,V1_BLOCKING,8.1; 8.2
REQ-CMP-0103,compression,NON_GOAL,Whole-archive codec choice is rejected because it prevents per-content optimisation and random access. Codec scope trades density (whole-stream) against access (per-entry); EROFS per-inode and DwarFS per-category scopes are the modern compromise; only Entrybound and DwarFS are marked as having content-directed codec selection.,SPEC,§2.3 table L110 [spec-01-0061],"[{""source"": ""APPX/incumbents.md"", ""location"": ""§02 L53; §02 L74"", ""local_key"": ""appx-incumbents-0019""}, {""source"": ""APPX/incumbents.md"", ""location"": ""§02 L74"", ""local_key"": ""appx-incumbents-0020""}, {""source"": ""SPEC"", ""location"": ""§22.2 L2337"", ""local_key"": ""spec-07-0151""}]",code:crates/entrybound/src/planner.rs:999-1062 (per-chunk selection),Repo selects per chunk (plus v3 cross-file groups owned by the compression-chunking shard); no per-category selection exists.,IMPLEMENTED,planner_selects_codecs_per_chunk (tests/compression_planner.rs:21-103).,UNTESTED,"Measure density versus random-access cost of per-chunk selection against whole-stream, per-entry and per-category baselines on shared corpora; verify DwarFS categoriser behaviour.",Should the planner support per-category codec selection like DwarFS?,DEC-CMP-012,V1_IMPORTANT,8.6; 9
REQ-CMP-0104,compression,FROZEN_DECISION,"PHTE boundary mode: 64-byte window continuous within one ContentObject, field Z/(2^127-1), Kpoly rejection-sampled from HMAC under a domain label; cited measurements found one AES evaluation per input byte cut throughput by about 53-165% in patched Restic, so the stronger mode stays explicit.",docs/crypto-suite-v1.md,§Boundary modes L601-610 [docs-crypto-a-0148],"[{""source"": ""docs/crypto-suite-v1.md"", ""location"": ""§Boundary modes L623-626"", ""local_key"": ""docs-crypto-a-0151""}]",docs/crypto-suite-v1.md §Boundary modes L601-626,Encrypted chunking is owned by crypto and compression-chunking shards.,IMPLEMENTED,chunker::chunk_ranges_encrypted with PhteAes128 (code-compress API notes §1.1).,UNTESTED,Benchmark Entrybound PHTE throughput with and without AES-NI.,,,V1_IMPORTANT,8.1; 22.2
REQ-CMP-0105,compression,CLAIM_NEEDING_EVIDENCE,"Physical determinism: same input, planner ID, format version and writer version yield a byte-identical unencrypted container (opt-in, default under --deterministic). pack help asserts unencrypted output is deterministic while encrypted output uses fresh randomness.",SPEC,§12.1 L1466 [spec-05-0094],"[{""source"": ""code:crates/entrybound-cli/src/lib.rs"", ""location"": ""L151-152"", ""local_key"": ""code-cli-0040""}]",code:crates/entrybound-cli/src/lib.rs:151-152,"Repo makes determinism unconditional for unencrypted packs rather than opt-in; what counts as the same writer version (encoder crates, toolchain) is undefined. Cross-ref model determinism-guarantee-scope.",PARTIAL,lib.rs:151-152 help text; publish test compares artifact bytes across target order (lib.rs:5755-5762); no cross-platform or cross-build test.,INSUFFICIENT,"Cross-platform, cross-thread-count, cross-build reproducibility tests of pack output bytes.",,DEC-CMP-019; DEC-CMP-031,V1_BLOCKING,7; 14
REQ-CMP-0106,compression,INVARIANT,Creation profile and planner choice are physically separate from logical identity; ReconstructionData is physical side data identified by exact bytes and never part of logical identity.,code:crates/entrybound/tests/compression_planner.rs,L214-246 [code-model-0212],"[{""source"": ""code:crates/entrybound/src/eam/model.rs"", ""location"": ""L1611-1621"", ""local_key"": ""code-model-0062""}]",code:crates/entrybound/src/eam/model.rs:1611-1621,Cross-ref model lai-invariance-under-physical-encoding.,IMPLEMENTED,creation_profile_is_physically_separate_from_logical_identity (tests/compression_planner.rs:214-246); v5/v6 tests keep LAI/AUX/PCR equal to v4.,SUPPORTED_WITH_LIMITATIONS,Property test over all profiles and planner versions on corpora.,,,V1_IMPORTANT,8.8; 11
REQ-CMP-0107,compression,OPEN_QUESTION,"SPEC describes TransformPlans assigned per chunk group while every Chunk carries plan_ref, and leaves unstated whether a CHUNK_FRAME holds one chunk or a group stream and how records reference earlier deduplicated chunks.",SPEC,§3.1 L135; §3.5 L244 [spec-01-0075],"[{""source"": ""SPEC"", ""location"": ""§4.6 L437-448; §5.2 L526"", ""local_key"": ""spec-02-0066""}]",docs/format-v0.md §Exact bootstrap framing L280-283; code:crates/entrybound/src/planner.rs:1723-1730,"Repo resolves both: one frame per Chunk with its own plan_ref and group_ref, references by chunk digest, frame order authoritative for dependencies; a ChunkGroup ID binds cohort, level and lookback, so members share one prefix plan.",IMPLEMENTED,"ecf/container.rs:1569-1651,1856-1858; planner.rs:1723-1730",PROVEN,Reflect the resolution in the SPEC or independent-reader spec text.,,,V1_IMPORTANT,28; 29
REQ-CMP-0108,compression,REQUIREMENT,"The Compression Planner (content-directed transform and codec selection) is a core component; its architecture, inputs, objective, determinism guarantees and the behavioural definitions of four profiles are decided, not deferred (deliverables 5 and 6). Compression is one planner decision; an archive may contain no compressed bytes.",SPEC,§1 table L55 [spec-01-0017],"[{""source"": ""SPEC"", ""location"": ""§25.4 L2577"", ""local_key"": ""spec-08-0121""}, {""source"": ""SPEC"", ""location"": ""§25.4 L2577"", ""local_key"": ""spec-08-0122""}, {""source"": ""SPEC"", ""location"": ""Appendix B row 5 L2732"", ""local_key"": ""spec-08-0292""}, {""source"": ""SPEC"", ""location"": ""Appendix B row 6 L2733"", ""local_key"": ""spec-08-0293""}, {""source"": ""SPEC"", ""location"": ""§17.7 L1986"", ""local_key"": ""spec-06-0194""}]",docs/planner-v1.md; docs/codec-transform-v1.md; docs/reconstructive-transform-v1.md; docs/jpeg-reconstruction-v1.md; code:crates/entrybound/src/planner.rs,"Repo implements the planner as six frozen generations of per-profile candidate tables with gain margins, not the SPEC categorise/constrained-objective architecture; SPEC architecture is only partially realised.",PARTIAL,planner.rs plan_archive..plan_archive_v6; no categoriser stage and no constraint parameters (see profile-constrained-objective-shape).,INSUFFICIENT,Map SPEC §5 pipeline stages to implemented planner stages and quantify what the missing stages would change (program 9).,,DEC-CMP-032; DEC-CMP-035,V1_BLOCKING,9; 10; 34
REQ-CMP-0109,compression,REQUIREMENT,"Planner determinism: identical input bytes, planner ID, declared resource model and pinned encoders yield identical TransformPlans and chunk boundaries on any machine, core count, memory, OS, locale or filesystem order; no elapsed time, floating point, iteration-order, filename or extension dependence; objective evaluated in exact integer or fixed-point arithmetic.",SPEC,§5.7 L596-598 [spec-02-0149],"[{""source"": ""SPEC"", ""location"": ""§12.1 L1465"", ""local_key"": ""spec-05-0093""}, {""source"": ""docs/planner-v1.md"", ""location"": ""Determinism L23-24"", ""local_key"": ""docs-compress-0009""}, {""source"": ""SPEC"", ""location"": ""§12.2 L1473"", ""local_key"": ""spec-05-0099""}, {""source"": ""SPEC"", ""location"": ""§26.4 row 21 L2649"", ""local_key"": ""spec-08-0210""}, {""source"": ""SPEC"", ""location"": ""§5.7 L602, L604"", ""local_key"": ""spec-02-0153""}, {""source"": ""SPEC"", ""location"": ""§5.7 L604"", ""local_key"": ""spec-02-0154""}]",docs/planner-v1.md Determinism L23-24,Repo docs restate the rule for all planners; cross-ref model determinism-guarantee-scope and access deterministic-mode-thread-count-independence.,IMPLEMENTED,"Integer-only probe and costs (planner.rs:1734-1798); single-threaded bulk zstd compressor (codec.rs:557-573, no worker parameter, spot-checked); same-machine repeat tests only (tests/compression_planner.rs:105-131).",SUPPORTED_WITH_LIMITATIONS,"Cross-platform matrix (Windows, WSL Linux, emulated ARM64 labelled; macOS PLATFORM_BLOCKED), varied thread counts and memory; lint for float/time/hash-order use in planner and encoders.",,DEC-CMP-031,V1_BLOCKING,7; 9; 14
REQ-CMP-0110,compression,FROZEN_DECISION,Planner IDs are centrally registered and frozen forever: balanced-v1 names one exact behaviour producing the same plan indefinitely; improvements ship as new IDs; old IDs are only deprecated for new archives and remain decodable; the archive records its planner ID.,SPEC,§5.7 L594 [spec-02-0148],"[{""source"": ""SPEC"", ""location"": ""§12.2 L1471"", ""local_key"": ""spec-05-0096""}, {""source"": ""SPEC"", ""location"": ""§12.2 L1471"", ""local_key"": ""spec-05-0097""}, {""source"": ""SPEC"", ""location"": ""§20.3 L2210"", ""local_key"": ""spec-07-0080""}, {""source"": ""code:crates/entrybound/src/planner.rs"", ""location"": ""L84-145"", ""local_key"": ""code-compress-0008""}, {""source"": ""docs/planner-v1.md"", ""location"": ""Current profiles L62"", ""local_key"": ""docs-compress-0023""}]",CONTRIBUTING.md L67-99; code:crates/entrybound/src/planner.rs:84-145,"Repo implements per-profile IDs -v1..-v6 and freezes candidate tables per version; there is no central registry document, and golden plan vectors per ID do not exist.",PARTIAL,"planner.rs:84-145; profiles_expose_v6_and_preserve_frozen_historical_identifiers (planner.rs:1838-1878) checks IDs, not plan outputs.",INSUFFICIENT,Golden plan and archive vectors per planner ID re-run across dependency upgrades and platforms.,How is byte-identical reproduction of frozen planner IDs guaranteed when pinned codec crates must be upgraded?,DEC-CMP-031,V1_BLOCKING,7; 9; 29
REQ-CMP-0111,compression,CLAIM_NEEDING_EVIDENCE,"Because selection compares measured encoded lengths, a planner ID implicitly pins every encoder in its candidate set; any encoder change mints a new ID. Reproducibility depends on byte-identical output from zstd 1.5.7 (C via zstd-sys), lz4_flex 0.14.0, lzma-rust2 0.20.0, preflate-rs 0.7.6 and jixel 0.2.19; Zstd/LZ4/LZMA2 plans do not record encoder versions.",SPEC,§5.7 L600 [spec-02-0151],"[{""source"": ""SPEC"", ""location"": ""§12.2 L1471"", ""local_key"": ""spec-05-0098""}, {""source"": ""SPEC"", ""location"": ""§26.4 row 20 L2648"", ""local_key"": ""spec-08-0209""}, {""source"": ""code:crates/entrybound/src/planner.rs"", ""location"": ""L951-963, 1336-1354; crates/entrybound/Cargo.toml:26-41; crates/entrybound/src/codec.rs:557-573, 873-925"", ""local_key"": ""code-compress-0068""}, {""source"": ""code:Cargo.lock"", ""location"": ""L2826-2834"", ""local_key"": ""code-deps-tests-tools-0057""}, {""source"": ""docs/format-v0.md"", ""location"": ""§Transform and chunking L92-93"", ""local_key"": ""docs-format-0033""}, {""source"": ""APPX/chunking.md"", ""location"": ""§7 L409"", ""local_key"": ""appx-chunking-0201""}]",code:crates/entrybound/Cargo.toml:26-41 (exact = pins); CONTRIBUTING.md L85-99,"CONTRIBUTING freezes preflate and jixel/jxl-oxide versions for v5/v6 but says nothing about zstd, lz4_flex or lzma-rust2 versions for v1-v4 IDs.",PARTIAL,"Cargo.toml exact pins (spot-checked: zstd =0.13.3, lz4_flex =0.14.0, lzma-rust2 =0.20.0, preflate-rs =0.7.6, jixel =0.2.19); same-process determinism tests only (compression_planner.rs:105-131).",INSUFFICIENT,"Measure output drift of zstd 1.5.x, lz4_flex and lzma-rust2 releases at fixed parameters; cross-platform SIMD/BMI2 dispatch byte-identity; cost of vendoring encoders.","Record encoder versions in planner IDs, or declare reproducibility only for a pinned toolchain?",DEC-CMP-031,V1_BLOCKING,7; 9; 31
REQ-CMP-0112,compression,REQUIREMENT,The planner must model index (chunk table) size as part of stored size; one published 37 GB dataset showed 64 KiB chunks giving a 20 MB index versus 327 KB at 8 MiB while stored size barely moved.,SPEC,§7.3 L798 [spec-03-0100],"[{""source"": ""SPEC"", ""location"": ""§7.3 L798"", ""local_key"": ""spec-03-0098""}]","code:crates/entrybound/src/chunker.rs cost constants (CHUNK_FRAME_OVERHEAD_BYTES, INDEX_ENTRY_OVERHEAD_BYTES) per code-compress API notes","Index cost is modelled at chunk-parameter selection (chunker::evaluate), not in codec selection; chunk-size decisions belong to the compression-chunking shard.",PARTIAL,chunker::evaluate estimated cost with index-entry overhead constants (code-compress-api-notes §1.1); codec selection ignores index bytes.,UNTESTED,Reproduce the index-size versus chunk-size curve on the program corpus with Entrybound Index entry sizes.,,,V1_BLOCKING,8.1; 9
REQ-CMP-0113,compression,DEFERRED_QUESTION,"Planner objective weights and search strategy per profile are deferred; weights must be fit to a corpus reflecting real file-type mixes, not a general-purpose benchmark, and corpus construction is itself deferred to empirical work.",SPEC,§25.1 row 17 L2549 [spec-08-0079],"[{""source"": ""SPEC"", ""location"": ""§25.3 L2569"", ""local_key"": ""spec-08-0107""}, {""source"": ""SPEC"", ""location"": ""§25.3 L2569"", ""local_key"": ""spec-08-0108""}]",,Repo has no weights: selection is smallest complete cost with margins over candidate tables frozen without corpus fitting.,MISSING,none found (no weight constants; planner docs cite no corpus).,INSUFFICIENT,Fit and cross-validate weights on the program corpus (g1-g5) with held-out evaluation; perturbation stability of selections.,,DEC-CMP-032; DEC-CMP-035,V1_IMPORTANT,5; 9; 10; 35
REQ-CMP-0114,compression,REQUIREMENT,"SPEC pipeline is Scan, Categorise, Chunk, Deduplicate, Cluster, Group, Plan, Verify, Emit, with per-group search over transforms x codecs x parameters x dictionaries and inputs including entropy probes, similarity, CDC dedup hit rate, dictionary training cost, random-access penalty and decoder memory. The repo has no categorise stage and plans per unique chunk.",SPEC,§5.2 L500 [spec-02-0101],"[{""source"": ""SPEC"", ""location"": ""§5.3 L536-549"", ""local_key"": ""spec-02-0125""}, {""source"": ""SPEC"", ""location"": ""§5.2 L528"", ""local_key"": ""spec-02-0123""}, {""source"": ""code:crates/entrybound/src/planner.rs"", ""location"": ""crates/entrybound/src/planner.rs:243-271"", ""local_key"": ""code-compress-0014""}]",code:crates/entrybound/src/archive/filesystem.rs:883-1002; code:crates/entrybound/src/planner.rs:294-436,"Repo pipeline: capture, archive-wide CDC selection, exact dedup, per-chunk independent codec selection, similarity cohorts with dictionary/lookback strategies, reconstruction and regions. Random-access penalty and decoder memory are not objective inputs. Planner optimality (Task 9) is shared with sibling shard compression-codecs-planner.",PARTIAL,"archive/filesystem.rs:883-1002; planner.rs:294-436,730-819",UNTESTED,Regret of the staged pipeline vs exhaustive search on small corpora; value of a categorise stage.,Should a categorise stage and access-cost inputs be added?,DEC-CMP-003,V1_IMPORTANT,8.1; 9
REQ-CMP-0115,compression,REQUIREMENT,"In deterministic mode dedup iteration order, dictionary sample selection, similarity seeds and any sampled candidate evaluation must be fixed by the planner ID, not the runtime; the SPEC does not specify sampling or pay-off rules. The repo iterates in digest order with no seeds; determinism is tested only within one process and build.",SPEC,§5.7 L606 [spec-02-0156],"[{""source"": ""SPEC"", ""location"": ""§5.3 L546; §5.7 L606"", ""local_key"": ""spec-02-0130""}, {""source"": ""SPEC"", ""location"": ""§6.0a L669, L704, L706"", ""local_key"": ""spec-03-0024""}, {""source"": ""docs/filesystem-bootstrap.md"", ""location"": ""§Native filesystem bootstrap L28-29"", ""local_key"": ""docs-fs-0016""}, {""source"": ""code:crates/entrybound/tests/compression_planner.rs"", ""location"": ""crates/entrybound/tests/compression_planner.rs:21-131"", ""local_key"": ""code-compress-0177""}, {""source"": ""code:crates/entrybound/tests/compression_planner.rs"", ""location"": ""crates/entrybound/tests/compression_planner.rs:105-131"", ""local_key"": ""code-deps-tests-tools-0073""}]",docs/cross-file-compression-v1.md §Shared Dictionaries L47-49 (digest-order samples); code:crates/entrybound/src/planner.rs:48-55 (fixed 4096-byte probe),Repo removes seeds by using digest order and fixed prefixes; model decisions determinism-guarantee-scope and determinism-under-parallelism own cross-platform and parallel guarantees.,IMPLEMENTED,"BTreeMap digest-ordered iteration (similarity.rs:107-181, planner.rs:1587-1623); tests compression_planner.rs:105-131 (same machine)",SUPPORTED_WITH_LIMITATIONS,"Cross-machine, OS, thread-count and dependency-version determinism runs for all profiles (local and Docker).",How is dictionary training and sampling reproducibility pinned?,DEC-CMP-021,V1_IMPORTANT,8.3; 8.4; 14
REQ-CMP-0116,compression,CLAIM_NEEDING_EVIDENCE,"Planner selection behaviour is evidenced only by synthetic tests: extreme picks STORE for noise, fast LZ4 for small repetition, dense a transform for little-endian counters and LZMA2 beyond the 1 MiB zstd window; balanced assigns STORE/Zstandard per chunk within a mixed file; dense transforms round-trip in INDEXED and STREAM with equal LAI/AUX/PCR.",code:crates/entrybound/src/planner.rs,L1933-1971 [code-compress-0064],"[{""source"": ""code:crates/entrybound/tests/compression_planner.rs"", ""location"": ""L133-293"", ""local_key"": ""code-compress-0178""}, {""source"": ""code:crates/entrybound/tests/compression_planner.rs"", ""location"": ""L21-103"", ""local_key"": ""code-deps-tests-tools-0072""}, {""source"": ""code:crates/entrybound/tests/compression_planner.rs"", ""location"": ""L133-212"", ""local_key"": ""code-deps-tests-tools-0074""}]",code:crates/entrybound/src/planner.rs:1933-1971; code:crates/entrybound/tests/compression_planner.rs:21-293,,IMPLEMENTED,v4_measured_candidates_cover_store_speed_density_and_transforms; planner_selects_codecs_per_chunk; v4_transform_pipeline tests.,INSUFFICIENT,"Replicate selection behaviour on real data classes (source code, logs, databases, binaries, media, model weights) and compare with exhaustive search.",,DEC-CMP-032,V1_IMPORTANT,5; 9
REQ-CMP-0117,compression,INVARIANT,"I30: transform plans are data. A decoder implements the codec/transform registry, never the planner; the archive fully determines its own decoding, so planner evolution needs no compatibility matrix and historical archives decode with no special case.",SPEC,§3.9 I30 L342 [spec-01-0224],"[{""source"": ""SPEC"", ""location"": ""Appendix A I30 L2721"", ""local_key"": ""spec-08-0286""}, {""source"": ""SPEC"", ""location"": ""§3.6 T1 L290"", ""local_key"": ""spec-01-0184""}, {""source"": ""SPEC"", ""location"": ""§5.1 L495"", ""local_key"": ""spec-02-0100""}, {""source"": ""SPEC"", ""location"": ""§5.7 L615"", ""local_key"": ""spec-02-0163""}, {""source"": ""code:crates/entrybound/src/planner.rs"", ""location"": ""L1-4"", ""local_key"": ""code-compress-0001""}, {""source"": ""code:crates/entrybound/src/codec.rs"", ""location"": ""L1-4"", ""local_key"": ""code-compress-0069""}, {""source"": ""docs/planner-v1.md"", ""location"": ""Intro L8-11"", ""local_key"": ""docs-compress-0002""}]",docs/planner-v1.md Intro L8-11; code:crates/entrybound/src/planner.rs:1-4; code:crates/entrybound/src/codec.rs:1-4,Repo docs and code restate I30 without narrowing it; CONTRIBUTING.md L67-70 adds that decoder behaviour depends only on recorded TransformPlans.,IMPLEMENTED,"planner.rs:1-4 and codec.rs:1-4 module docs; ecf/container.rs and ecf/random.rs import codec, not planner (spot-checked); archives from v1-v6 planners decode through one reader (tests/compression_planner.rs, tests/reconstructive_transform.rs, tests/jpeg_whole_object.rs).",SUPPORTED_WITH_LIMITATIONS,Build-graph check that reader paths compile without the planner module; independent reader decoding archives from every planner ID (program 28).,,,V1_BLOCKING,8.6; 9; 28; 29
REQ-CMP-0118,compression,REQUIREMENT,"SPEC clustering_mode (none / cheap-ordering / full-similarity) is a profile parameter: fast preserves input order with no clustering, balanced uses cheap similarity ordering within directories and categories, dense and extreme use full archive-wide similarity clustering. The repo has no clustering_mode: fast uses digest order and balanced already runs archive-wide bottom-k cohorts.",SPEC,"§6.0a L670, L673 [spec-03-0019]","[{""source"": ""SPEC"", ""location"": ""§6.1 L683-684"", ""local_key"": ""spec-03-0028""}, {""source"": ""SPEC"", ""location"": ""§6.2 L702-703"", ""local_key"": ""spec-03-0037""}, {""source"": ""SPEC"", ""location"": ""§6.3 L715-719"", ""local_key"": ""spec-03-0044""}, {""source"": ""SPEC"", ""location"": ""§6.3 L721-722"", ""local_key"": ""spec-03-0046""}, {""source"": ""SPEC"", ""location"": ""§26.5 row 13 L2681"", ""local_key"": ""spec-08-0245""}]",docs/cross-file-compression-v1.md §Similarity table L23-28; code:crates/entrybound/src/similarity.rs:19-84,Repo supersedes the SPEC profile semantics without recording why; input order is not preserved for fast.,PARTIAL,"similarity.rs:19-84 (fast disabled, balanced/dense/extreme cohorts); archive/filesystem.rs:980-1002 (digest base order)",UNTESTED,Measure cheap ordering (type/path) vs archive-wide cohorts for balanced; locality cost of digest order vs input order for fast.,Should profiles follow SPEC clustering modes or the repo freeze?,DEC-CMP-006,V1_IMPORTANT,8.3; 10
REQ-CMP-0119,compression,FROZEN_DECISION,"A profile is a constrained objective: minimise stored_bytes subject to decode throughput >= min_decode_rate, decode memory <= max_decode_memory, access granularity <= max_access_granularity and compress budget <= compress_budget. The objective shape and profile semantics are fixed; weights and values are deferred.",SPEC,§5.4 L556-564 [spec-02-0131],"[{""source"": ""SPEC"", ""location"": ""§25.1 row 17 L2549"", ""local_key"": ""spec-08-0080""}]",docs/planner-v1.md L13-41; docs/codec-transform-v1.md L75-115 (frozen candidate tables and complete-cost margins),Repo does not implement the constrained objective: selection minimises complete stored cost over fixed per-profile candidate tables with minimum-gain margins; decode rate and memory are constrained only implicitly by which candidates a table lists.,PARTIAL,"planner.rs:1286-1354 (candidate tables and select_v4_plan, spot-checked); no min_decode_rate/max_decode_memory/max_access_granularity inputs in planner.rs.",INSUFFICIENT,Test whether implicit constraints (candidate tables) correspond to any explicit constraint values; measure constraint violations per profile.,"Should the planner implement the explicit constrained objective, or should SPEC adopt candidate-table profiles?",DEC-CMP-015; DEC-CMP-035,V1_BLOCKING,9; 10
REQ-CMP-0120,compression,DEFERRED_QUESTION,"Numeric values for every profile parameter (decode rate, memory, window, access granularity, lookback, budget, chunk sizes) are deferred to §25.3; extreme omits chunking, dedup and clustering rows; padding and boundary mode are not profile parameters; random_access_granularity has no unit.",SPEC,§6.0a L655-671 [spec-03-0006],"[{""source"": ""SPEC"", ""location"": ""§6.4 L736-745; §6.0a L673"", ""local_key"": ""spec-03-0061""}, {""source"": ""SPEC"", ""location"": ""§6.0a L657-671; §7.6 L845-853"", ""local_key"": ""spec-03-0025""}, {""source"": ""SPEC"", ""location"": ""§5.4 L562"", ""local_key"": ""spec-02-0133""}, {""source"": ""SPEC"", ""location"": ""§25.1 row 17 L2549; §25.3 L2567-2573"", ""local_key"": ""spec-08-0081""}, {""source"": ""SPEC"", ""location"": ""§26.4 row 32 L2660"", ""local_key"": ""spec-08-0222""}]",code:crates/entrybound/src/chunker.rs:78-108; code:crates/entrybound/src/similarity.rs:19-84; code:crates/entrybound/src/planner.rs:147-203; docs/crypto-suite-v1.md §Boundary modes,"Repo freezes chunking, similarity, dictionary and lookback values for all four profiles (resolving the extreme omission) and makes --pad/--chunk-boundary profile-independent encryption options; access cluster access-granularity-metric-definition owns the granularity unit.",MISSING,Frozen tables at the cited code locations; none measured | none found (no profile constraint constants in planner.rs or docs/planner-v1.md).,INSUFFICIENT,"Profile-level Pareto evaluation (Task 10) using the Task 8.1-8.5 results. | Measure decode rate, memory and access granularity achieved by each frozen profile to seed candidate values; perturbation study of values.",Which frozen profile values must be retuned before v1? | Where are numeric profile values decided and from what evidence?,DEC-CMP-002; DEC-CMP-003; DEC-CMP-020; DEC-CMP-027; DEC-CMP-035; DEC-CMP-041,V1_BLOCKING,8.1; 8.3; 8.4; 8.5; 10
REQ-CMP-0121,compression,REQUIREMENT,"A profile is exactly an assignment to a fixed set of thirteen named parameters (including transform_classes subset of {structural, reconstructive} and codec_candidates subset of the registered set); every profile assigns all. Parameter cardinality (per-category chunk sizes) and whether the creating profile may be recorded informationally are ambiguous.",SPEC,§6.0a L655 [spec-03-0005],"[{""source"": ""SPEC"", ""location"": ""§6.0a L673"", ""local_key"": ""spec-03-0021""}, {""source"": ""SPEC"", ""location"": ""§6.0a L667"", ""local_key"": ""spec-03-0016""}, {""source"": ""SPEC"", ""location"": ""§6.0a L668"", ""local_key"": ""spec-03-0017""}, {""source"": ""SPEC"", ""location"": ""§6.0a L649, L665, L673"", ""local_key"": ""spec-03-0023""}]","code:crates/entrybound/src/planner.rs:84-145,1286-1334",Repo profiles are enum variants with frozen per-version candidate tables; no parameter record exists. planner_id is recorded in the Descriptor.,MISSING,planner.rs CompressionProfile enum (63-82) with hard-coded match arms; no profile parameter record.,INSUFFICIENT,Express each frozen v6 profile as a thirteen-parameter assignment to test whether the parameter model is complete.,"Is the thirteen-parameter model adopted, and may the profile name be recorded informationally?",DEC-CMP-035,V1_IMPORTANT,10
REQ-CMP-0122,compression,FROZEN_DECISION,"A compression profile is creation-time policy only: never required by, recorded as required in, or consulted during decompression. Any decoder implementing the declared features decodes archives from every profile unaided; unpack has no --profile.",SPEC,§6.0 L647-649 [spec-03-0001],"[{""source"": ""SPEC"", ""location"": ""§6.0 L649"", ""local_key"": ""spec-03-0003""}, {""source"": ""SPEC"", ""location"": ""§17.3 L1872"", ""local_key"": ""spec-06-0133""}, {""source"": ""code:crates/entrybound-cli/src/lib.rs"", ""location"": ""L153"", ""local_key"": ""code-cli-0041""}]",code:crates/entrybound-cli/src/lib.rs:153 (help: profiles are creation-time policy; archives record TransformPlans),Repo records planner_id in the Descriptor informationally (not consulted by decoding); whether that counts as recording the profile is the spec-03-0023 ambiguity.,IMPLEMENTED,entrybound-cli/src/lib.rs:153; cli_workflow.rs:74-92 shows verify --profile is EB_CLI_USAGE; planner.rs:1-4.,SUPPORTED_WITH_LIMITATIONS,Cross-profile decode conformance matrix run by an independent reader with no profile knowledge.,,,V1_BLOCKING,10; 28; 29
REQ-CMP-0123,compression,REQUIREMENT,"Research obligation (Task 8.1): compare normalized Gear against fixed-size and credible CDC alternatives with min/target/max sweeps, measuring ratio, dedup, index overhead, CPU, memory, boundary stability under insertion, update locality and random-access amplification, and report category-specific and aggregate Pareto frontiers.",PROGRAM,"Research program Task 8.1 (compression questions; SPEC §25.1 row 6, §25.3)",[],,"PROGRAM obligation spanning the algorithm, size, granularity and selection decisions.",MISSING,none found (research/corpus/generators/g2-generated/cdc_verify only prints chunk lengths for corpus generation),UNTESTED,Full Task 8.1 matrix with held-out validation.,Which CDC algorithm and parameters to freeze?,DEC-CMP-001; DEC-CMP-002; DEC-CMP-003; DEC-CMP-004,V1_BLOCKING,8.1
