# generated by research/tools/experiments/look_plan.py; do not edit (edit look-ownership-overrides.csv)
decision_id,look_number,look_state,cluster,look_group,tuning_wave,owning_experiment,participating_experiments,tuning_only_experiments,hc_screen_experiments,comparison_owners,ws_source_records,mde_record_path,look_condition,ownership_basis
DEC-ACC-006,1,PLANNED,access,LG-access,2,EXP-SCALE-008,,,,,research/experiments/EXP-SCALE-008/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-006-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-006,2,RESERVED,access,LG-access,2,EXP-SCALE-008,,,,,research/experiments/EXP-SCALE-008/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-006-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-007,1,PLANNED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,EXP-ECO-001; EXP-ECO-020,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-007-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-007,2,RESERVED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,EXP-ECO-001; EXP-ECO-020,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-007-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-008,1,PLANNED,access,LG-access,4,EXP-ECO-006,,,EXP-ECO-018,,research/experiments/EXP-ECO-006/record.md,research/normalized/EXP-ECO-006/decision/DEC-ACC-008-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-008,2,RESERVED,access,LG-access,4,EXP-ECO-006,,,EXP-ECO-018,,research/experiments/EXP-ECO-006/record.md,research/normalized/EXP-ECO-006/decision/DEC-ACC-008-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-009,1,PLANNED,access,LG-access,2,EXP-SCALE-010,EXP-CRYPTO-009,,,,research/experiments/EXP-SCALE-010/record.md; research/experiments/EXP-CRYPTO-009/record.md,research/normalized/EXP-SCALE-010/decision/DEC-ACC-009-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-009,2,RESERVED,access,LG-access,2,EXP-SCALE-010,EXP-CRYPTO-009,,,,research/experiments/EXP-SCALE-010/record.md; research/experiments/EXP-CRYPTO-009/record.md,research/normalized/EXP-SCALE-010/decision/DEC-ACC-009-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-010,1,PLANNED,access,LG-access,2,EXP-REMOTE-010,EXP-CRYPTO-008,,,,research/experiments/EXP-REMOTE-010/record.md; research/experiments/EXP-CRYPTO-008/record.md,research/normalized/EXP-REMOTE-010/decision/DEC-ACC-010-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-010,2,RESERVED,access,LG-access,2,EXP-REMOTE-010,EXP-CRYPTO-008,,,,research/experiments/EXP-REMOTE-010/record.md; research/experiments/EXP-CRYPTO-008/record.md,research/normalized/EXP-REMOTE-010/decision/DEC-ACC-010-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-011,1,PLANNED,access,LG-access,2,EXP-SCALE-010,EXP-CRYPTO-009,,,,research/experiments/EXP-SCALE-010/record.md; research/experiments/EXP-CRYPTO-009/record.md,research/normalized/EXP-SCALE-010/decision/DEC-ACC-011-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-011,2,RESERVED,access,LG-access,2,EXP-SCALE-010,EXP-CRYPTO-009,,,,research/experiments/EXP-SCALE-010/record.md; research/experiments/EXP-CRYPTO-009/record.md,research/normalized/EXP-SCALE-010/decision/DEC-ACC-011-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-013,1,PLANNED,access,LG-access,2,EXP-SCALE-009,EXP-LEGACY-032,,EXP-SCALE-002,,research/experiments/EXP-SCALE-009/record.md; research/experiments/EXP-LEGACY-032/record.md,research/normalized/EXP-SCALE-009/decision/DEC-ACC-013-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-013,2,RESERVED,access,LG-access,2,EXP-SCALE-009,EXP-LEGACY-032,,EXP-SCALE-002,,research/experiments/EXP-SCALE-009/record.md; research/experiments/EXP-LEGACY-032/record.md,research/normalized/EXP-SCALE-009/decision/DEC-ACC-013-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-015,1,PLANNED,access,LG-access,4,EXP-ECO-009,,,,,research/experiments/EXP-ECO-009/record.md,research/normalized/EXP-ECO-009/decision/DEC-ACC-015-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-015,2,RESERVED,access,LG-access,4,EXP-ECO-009,,,,,research/experiments/EXP-ECO-009/record.md,research/normalized/EXP-ECO-009/decision/DEC-ACC-015-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-016,1,PLANNED,access,LG-access,4,EXP-ECO-009,EXP-ECO-003,,EXP-ECO-001,,research/experiments/EXP-ECO-009/record.md; research/experiments/EXP-ECO-003/record.md,research/normalized/EXP-ECO-009/decision/DEC-ACC-016-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-016,2,RESERVED,access,LG-access,4,EXP-ECO-009,EXP-ECO-003,,EXP-ECO-001,,research/experiments/EXP-ECO-009/record.md; research/experiments/EXP-ECO-003/record.md,research/normalized/EXP-ECO-009/decision/DEC-ACC-016-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-017,1,PLANNED,access,LG-access,2,EXP-SCALE-009,EXP-LEGACY-040,,EXP-SCALE-002,,research/experiments/EXP-SCALE-009/record.md; research/experiments/EXP-LEGACY-040/record.md,research/normalized/EXP-SCALE-009/decision/DEC-ACC-017-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-017,2,RESERVED,access,LG-access,2,EXP-SCALE-009,EXP-LEGACY-040,,EXP-SCALE-002,,research/experiments/EXP-SCALE-009/record.md; research/experiments/EXP-LEGACY-040/record.md,research/normalized/EXP-SCALE-009/decision/DEC-ACC-017-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-018,1,PLANNED,access,LG-access,2,EXP-REMOTE-004,EXP-CON-001; EXP-CON-002,,,,research/experiments/EXP-REMOTE-004/record.md; research/experiments/EXP-CON-001/record.md; research/experiments/EXP-CON-002/record.md,research/normalized/EXP-REMOTE-004/decision/DEC-ACC-018-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-018,2,RESERVED,access,LG-access,2,EXP-REMOTE-004,EXP-CON-001; EXP-CON-002,,,,research/experiments/EXP-REMOTE-004/record.md; research/experiments/EXP-CON-001/record.md; research/experiments/EXP-CON-002/record.md,research/normalized/EXP-REMOTE-004/decision/DEC-ACC-018-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-019,1,PLANNED,access,LG-access,2,EXP-REMOTE-008,EXP-CON-002; EXP-REMOTE-004,,,,research/experiments/EXP-REMOTE-008/record.md; research/experiments/EXP-CON-002/record.md; research/experiments/EXP-REMOTE-004/record.md,research/normalized/EXP-REMOTE-008/decision/DEC-ACC-019-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-019,2,RESERVED,access,LG-access,2,EXP-REMOTE-008,EXP-CON-002; EXP-REMOTE-004,,,,research/experiments/EXP-REMOTE-008/record.md; research/experiments/EXP-CON-002/record.md; research/experiments/EXP-REMOTE-004/record.md,research/normalized/EXP-REMOTE-008/decision/DEC-ACC-019-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-020,1,PLANNED,access,LG-access,2,EXP-SCALE-001,EXP-SCALE-007,,,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-007/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-020-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-020,2,RESERVED,access,LG-access,2,EXP-SCALE-001,EXP-SCALE-007,,,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-007/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-020-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-021,1,PLANNED,access,LG-access,4,EXP-ECO-015,,,EXP-CONF-004,,research/experiments/EXP-ECO-015/record.md,research/normalized/EXP-ECO-015/decision/DEC-ACC-021-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-021,2,RESERVED,access,LG-access,4,EXP-ECO-015,,,EXP-CONF-004,,research/experiments/EXP-ECO-015/record.md,research/normalized/EXP-ECO-015/decision/DEC-ACC-021-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-022,1,PLANNED,access,LG-access,2,EXP-SCALE-008,EXP-ECO-015; EXP-SCALE-001,,EXP-ECO-013,,research/experiments/EXP-SCALE-008/record.md; research/experiments/EXP-ECO-015/record.md; research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-022-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-022,2,RESERVED,access,LG-access,2,EXP-SCALE-008,EXP-ECO-015; EXP-SCALE-001,,EXP-ECO-013,,research/experiments/EXP-SCALE-008/record.md; research/experiments/EXP-ECO-015/record.md; research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-022-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-023,1,PLANNED,access,LG-access,2,EXP-PLAT-018,,,,,research/experiments/EXP-PLAT-018/record.md,research/normalized/EXP-PLAT-018/decision/DEC-ACC-023-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-023,2,RESERVED,access,LG-access,2,EXP-PLAT-018,,,,,research/experiments/EXP-PLAT-018/record.md,research/normalized/EXP-PLAT-018/decision/DEC-ACC-023-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-024,1,PLANNED,access,LG-access,2,EXP-REMOTE-007,EXP-CON-003,,,,research/experiments/EXP-REMOTE-007/record.md; research/experiments/EXP-CON-003/record.md,research/normalized/EXP-REMOTE-007/decision/DEC-ACC-024-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-024,2,RESERVED,access,LG-access,2,EXP-REMOTE-007,EXP-CON-003,,,,research/experiments/EXP-REMOTE-007/record.md; research/experiments/EXP-CON-003/record.md,research/normalized/EXP-REMOTE-007/decision/DEC-ACC-024-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-025,1,PLANNED,access,LG-access,2,EXP-REMOTE-002,EXP-CROSSFILE-004; EXP-CROSSFILE-006; EXP-CROSSFILE-008; EXP-REMOTE-011,,,,research/experiments/EXP-REMOTE-002/record.md; research/experiments/EXP-CROSSFILE-004/record.md; research/experiments/EXP-CROSSFILE-006/record.md; research/experiments/EXP-CROSSFILE-008/record.md; research/experiments/EXP-REMOTE-011/record.md,research/normalized/EXP-REMOTE-002/decision/DEC-ACC-025-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-025,2,RESERVED,access,LG-access,2,EXP-REMOTE-002,EXP-CROSSFILE-004; EXP-CROSSFILE-006; EXP-CROSSFILE-008; EXP-REMOTE-011,,,,research/experiments/EXP-REMOTE-002/record.md; research/experiments/EXP-CROSSFILE-004/record.md; research/experiments/EXP-CROSSFILE-006/record.md; research/experiments/EXP-CROSSFILE-008/record.md; research/experiments/EXP-REMOTE-011/record.md,research/normalized/EXP-REMOTE-002/decision/DEC-ACC-025-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-026,1,PLANNED,access,LG-access,2,EXP-PLAT-016,,,,,research/experiments/EXP-PLAT-016/record.md,research/normalized/EXP-PLAT-016/decision/DEC-ACC-026-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-026,2,RESERVED,access,LG-access,2,EXP-PLAT-016,,,,,research/experiments/EXP-PLAT-016/record.md,research/normalized/EXP-PLAT-016/decision/DEC-ACC-026-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-028,1,PLANNED,access,LG-access,2,EXP-SCALE-001,EXP-SCALE-010,,EXP-SCALE-002; EXP-SCALE-006,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-010/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-028-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-028,2,RESERVED,access,LG-access,2,EXP-SCALE-001,EXP-SCALE-010,,EXP-SCALE-002; EXP-SCALE-006,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-010/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-028-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-029,1,PLANNED,access,LG-access,2,EXP-SCALE-001,EXP-CHUNK-004; EXP-CHUNK-007; EXP-CHUNK-012; EXP-PLANNER-006; EXP-SCALE-007,,,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-CHUNK-004/record.md; research/experiments/EXP-CHUNK-007/record.md; research/experiments/EXP-CHUNK-012/record.md; research/experiments/EXP-PLANNER-006/record.md; research/experiments/EXP-SCALE-007/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-029-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-029,2,RESERVED,access,LG-access,2,EXP-SCALE-001,EXP-CHUNK-004; EXP-CHUNK-007; EXP-CHUNK-012; EXP-PLANNER-006; EXP-SCALE-007,,,,research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-CHUNK-004/record.md; research/experiments/EXP-CHUNK-007/record.md; research/experiments/EXP-CHUNK-012/record.md; research/experiments/EXP-PLANNER-006/record.md; research/experiments/EXP-SCALE-007/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-029-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-030,1,PLANNED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-030-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-030,2,RESERVED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-030-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-031,1,PLANNED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,EXP-SCALE-014,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-031-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-031,2,RESERVED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,EXP-SCALE-014,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-031-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-032,1,PLANNED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-032-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-032,2,RESERVED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-032-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-033,1,PLANNED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-033-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-033,2,RESERVED,access,LG-access,2,EXP-SCALE-013,EXP-SCALE-012,,,,research/experiments/EXP-SCALE-013/record.md; research/experiments/EXP-SCALE-012/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-033-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-034,1,PLANNED,access,LG-access,2,EXP-SCALE-013,,,,,research/experiments/EXP-SCALE-013/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-034-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-034,2,RESERVED,access,LG-access,2,EXP-SCALE-013,,,,,research/experiments/EXP-SCALE-013/record.md,research/normalized/EXP-SCALE-013/decision/DEC-ACC-034-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-035,1,PLANNED,access,LG-access,1,EXP-INT-003,,,,,research/experiments/EXP-INT-003/record.md,research/normalized/EXP-INT-003/decision/DEC-ACC-035-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
